"","Country","Year","GINI.Value","mortality.rate","lower_bound","upper_bound","attended.births"
"1","Afghanistan",2013,2000,NA,NA,NA,45.2
"2","Australia",2013,42540,NA,NA,NA,99.3
"3","Bahamas",2013,NA,NA,NA,NA,98
"4","Bahrain",2013,NA,NA,NA,NA,99.8
"5","Botswana",2013,15500,NA,NA,NA,99.9
"6","Brazil",2013,14750,NA,NA,NA,99.1
"7","Brunei Darussalam",2013,NA,NA,NA,NA,99.7
"8","Cabo Verde",2013,6220,NA,NA,NA,92.3
"9","Chile",2013,21030,NA,NA,NA,99.8
"10","Colombia",2013,11890,NA,NA,NA,98.7
"11","Cyprus",2013,28830,NA,NA,NA,99.9
"12","Czech Republic",2013,25530,NA,NA,NA,99.8
"13","Democratic Republic of the Congo",2013,680,NA,NA,NA,80.1
"14","Fiji",2013,7610,NA,NA,NA,98.8
"15","France",2013,37580,NA,NA,NA,98.3
"16","Gambia",2013,1620,NA,NA,NA,57.2
"17","India",2013,5350,NA,NA,NA,74.4
"18","Indonesia",2013,9260,NA,NA,NA,87.4
"19","Ireland",2013,NA,NA,NA,NA,99.8
"20","Italy",2013,34100,NA,NA,NA,99.9
"21","Kuwait",2013,NA,NA,NA,NA,99.9
"22","Liberia",2013,790,NA,NA,NA,61.1
"23","Libya",2013,NA,NA,NA,NA,99.9
"24","Malawi",2013,750,NA,NA,NA,87.4
"25","Malta",2013,28030,NA,NA,NA,99.9
"26","Mongolia",2013,8810,NA,NA,NA,98.9
"27","Montenegro",2013,14600,NA,NA,NA,99
"28","Namibia",2013,9590,NA,NA,NA,88.2
"29","Nigeria",2013,5360,NA,NA,NA,35.2
"30","Panama",2013,19290,NA,NA,NA,91.4
"31","Papua New Guinea",2013,2430,NA,NA,NA,43
"32","Paraguay",2013,7640,NA,NA,NA,95.7
"33","Philippines",2013,7820,NA,NA,NA,72.8
"34","Saudi Arabia",2013,53780,NA,NA,NA,98
"35","Sierra Leone",2013,1750,NA,NA,NA,59.7
"36","Togo",2013,1180,NA,NA,NA,44.6
"37","Turkey",2013,18760,NA,NA,NA,97.4
"38","Uruguay",2013,18930,NA,NA,NA,98.2
"39","Vanuatu",2013,2840,NA,NA,NA,89.4
"40","Viet Nam",2013,5030,NA,NA,NA,93.8
"41","Yemen",2013,3820,NA,NA,NA,43
"42","Zambia",2013,3070,NA,NA,NA,64.2
"43","Algeria",2012,12750,NA,NA,NA,96.6
"44","Barbados",2012,15080,NA,NA,NA,98.9
"45","Belarus",2012,16800,NA,NA,NA,100
"46","Bhutan",2012,6960,NA,NA,NA,74.6
"47","Bolivia (Plurinational State of)",2012,5400,NA,NA,NA,85.1
"48","Comoros",2012,1520,NA,NA,NA,82.2
"49","Denmark",2012,43200,NA,NA,NA,98.2
"50","Djibouti",2012,NA,NA,NA,NA,87.4
"51","Gabon",2012,16490,NA,NA,NA,89.3
"52","Guinea",2012,1140,NA,NA,NA,45.3
"53","Haiti",2012,1640,NA,NA,NA,37.3
"54","Jordan",2012,11390,NA,NA,NA,99.6
"55","Madagascar",2012,1340,NA,NA,NA,44.3
"56","Maldives",2012,9310,NA,NA,NA,95.5
"57","Mali",2012,1550,NA,NA,NA,57.1
"58","Niger",2012,880,NA,NA,NA,29.3
"59","Pakistan",2012,4670,NA,NA,NA,52.1
"60","Qatar",2012,121750,NA,NA,NA,100
"61","Republic of Korea",2012,32150,NA,NA,NA,99.8
"62","Republic of Moldova",2012,4710,NA,NA,NA,99.2
"63","Saint Lucia",2012,10260,NA,NA,NA,98.7
"64","Senegal",2012,2180,NA,NA,NA,59.1
"65","Seychelles",2012,22220,NA,NA,NA,99
"66","Slovenia",2012,27610,NA,NA,NA,99.8
"67","Tajikistan",2012,2340,NA,NA,NA,87.4
"68","Thailand",2012,13420,NA,NA,NA,99.6
"69","Tonga",2012,5370,NA,NA,NA,95.5
"70","Ukraine",2012,8670,NA,NA,NA,99
"71","Azerbaijan",2011,14590,NA,NA,NA,97.2
"72","Belize",2011,7940,NA,NA,NA,95.1
"73","Cote d'Ivoire",2011,2460,NA,NA,NA,56.4
"74","Canada",2011,40570,NA,NA,NA,98.4
"75","Equatorial Guinea",2011,27630,NA,NA,NA,68.3
"76","Honduras",2011,4110,NA,NA,NA,82.8
"77","Iraq",2011,13620,NA,NA,NA,90.9
"78","Jamaica",2011,8170,NA,NA,NA,98.6
"79","Lao People's Democratic Republic",2011,3840,NA,NA,NA,40.1
"80","Marshall Islands",2011,4260,NA,NA,NA,90.1
"81","Mauritania",2011,2610,NA,NA,NA,65.1
"82","Morocco",2011,6490,NA,NA,NA,73.6
"83","Mozambique",2011,910,NA,NA,NA,54.3
"84","Nicaragua",2011,4110,NA,NA,NA,88
"85","Tunisia",2011,9720,NA,NA,NA,73.6
"86","Uganda",2011,1310,NA,NA,NA,58
"87","Armenia",2010,6620,NA,NA,NA,99.5
"88","Burkina Faso",2010,1390,NA,NA,NA,65.9
"89","Burundi",2010,710,NA,NA,NA,60.3
"90","Central African Republic",2010,880,NA,NA,NA,40
"91","Eritrea",2010,1050,NA,NA,NA,34.1
"92","Hungary",2010,20140,NA,NA,NA,99.1
"93","Iran (Islamic Republic of)",2010,NA,NA,NA,NA,96.4
"94","Kazakhstan",2010,16710,NA,NA,NA,99.5
"95","South Sudan",2010,2600,NA,NA,NA,17.2
"96","Sudan",2010,2970,NA,NA,NA,19.9
"97","Suriname",2010,13730,NA,NA,NA,90
"98","United Arab Emirates",2010,56260,NA,NA,NA,100
"99","United Republic of Tanzania",2010,1500,NA,NA,NA,48.9
"100","Kiribati",2009,2430,NA,NA,NA,79.8
"101","Luxembourg",2009,52190,NA,NA,NA,99.9
"102","Micronesia (Federated States of)",2009,3330,NA,NA,NA,100
"103","Timor-Leste",2009,5100,NA,NA,NA,29.3
"104","Albania",2008,8920,NA,NA,NA,99.3
"105","Romania",2008,15280,NA,NA,NA,98.7
"106","Russian Federation",2008,19710,NA,NA,NA,99.6
"107","Slovakia",2008,22840,NA,NA,NA,99.5
"108","South Africa",2008,10960,NA,NA,NA,94.3
"109","Tuvalu",2007,5430,NA,NA,NA,93.1
"110","Angola",2006,4260,NA,NA,NA,46.7
"111","Lithuania",2006,16430,NA,NA,NA,100
"112","Solomon Islands",2006,1540,NA,NA,NA,85.5
"113","Sri Lanka",2006,5640,NA,NA,NA,98.6
"114","Uzbekistan",2006,2950,NA,NA,NA,99.6
"115","Turkmenistan",2005,5400,NA,NA,NA,99.5
"116","Lebanon",2004,10250,NA,NA,NA,98.2
"117","Afghanistan",2000,NA,1100,"745","1570",NA
"118","Albania",2000,4370,43,"33","56",NA
"119","Algeria",2000,7460,170,"118","241",NA
"120","Angola",2000,2190,924,"472","1730",NA
"121","Armenia",2000,2380,40,"35","46",NA
"122","Australia",2000,25580,9,"8","10",NA
"123","Austria",2000,28450,5,"4","6",NA
"124","Azerbaijan",2000,3350,48,"42","55",NA
"125","Bahamas",2000,20020,61,"50","74",NA
"126","Bahrain",2000,34880,21,"18","26",NA
"127","Bangladesh",2000,1140,399,"322","496",NA
"128","Barbados",2000,11320,48,"38","58",NA
"129","Belarus",2000,5770,26,"22","31",NA
"130","Belgium",2000,28310,9,"8","11",NA
"131","Belize",2000,6160,53,"45","62",NA
"132","Benin",2000,1200,572,"448","732",NA
"133","Bhutan",2000,2860,423,"328","538",NA
"134","Bolivia (Plurinational State of)",2000,3340,334,"272","416",NA
"135","Bosnia and Herzegovina",2000,4840,17,"12","24",NA
"136","Botswana",2000,7620,311,"261","361",NA
"137","Brazil",2000,8500,66,"64","67",NA
"138","Brunei Darussalam",2000,59100,31,"25","39",NA
"139","Bulgaria",2000,6080,21,"18","25",NA
"140","Burkina Faso",2000,840,547,"432","686",NA
"141","Burundi",2000,580,954,"682","1310",NA
"142","Cote d'Ivoire",2000,2160,671,"522","856",NA
"143","Cabo Verde",2000,2910,83,"45","162",NA
"144","Cambodia",2000,1050,484,"396","596",NA
"145","Cameroon",2000,1710,750,"615","918",NA
"146","Canada",2000,28240,9,"9","10",NA
"147","Central African Republic",2000,550,1200,"836","1750",NA
"148","Chad",2000,730,1370,"1070","1790",NA
"149","Chile",2000,9320,31,"27","34",NA
"150","China",2000,2830,58,"52","65",NA
"151","Colombia",2000,6520,97,"90","104",NA
"152","Comoros",2000,1250,499,"324","765",NA
"153","Congo",2000,2590,653,"492","864",NA
"154","Costa Rica",2000,6990,38,"35","43",NA
"155","Croatia",2000,10730,11,"9","13",NA
"156","Cuba",2000,8670,43,"39","47",NA
"157","Cyprus",2000,18190,15,"9","25",NA
"158","Czech Republic",2000,15320,7,"6","8",NA
"159","Democratic Republic of the Congo",2000,410,874,"639","1160",NA
"160","Denmark",2000,28240,9,"8","10",NA
"161","Djibouti",2000,1700,401,"218","759",NA
"162","Dominican Republic",2000,5460,79,"74","83",NA
"163","Ecuador",2000,5310,103,"91","116",NA
"164","Egypt",2000,6260,63,"56","71",NA
"165","El Salvador",2000,4880,84,"75","95",NA
"166","Equatorial Guinea",2000,6030,702,"457","1060",NA
"167","Eritrea",2000,1150,733,"527","995",NA
"168","Estonia",2000,9380,26,"21","31",NA
"169","Ethiopia",2000,480,897,"718","1100",NA
"170","Fiji",2000,5560,42,"33","53",NA
"171","Finland",2000,25500,5,"4","6",NA
"172","France",2000,25560,12,"11","13",NA
"173","Gabon",2000,11710,405,"298","550",NA
"174","Gambia",2000,1190,887,"609","1250",NA
"175","Georgia",2000,2700,37,"30","44",NA
"176","Germany",2000,25510,8,"7","9",NA
"177","Ghana",2000,1720,467,"342","645",NA
"178","Greece",2000,18340,4,"3","4",NA
"179","Grenada",2000,7210,29,"21","38",NA
"180","Guatemala",2000,4950,178,"170","186",NA
"181","Guinea",2000,880,976,"787","1200",NA
"182","Guinea-Bissau",2000,560,800,"417","1450",NA
"183","Guyana",2000,3730,210,"185","241",NA
"184","Haiti",2000,NA,505,"386","664",NA
